Variable,Tipo,Longitud,Decimales,Descripción,Valores,Etiquetas
FOLIO,Carácter,9,,Número de Folio de registro del aspirante ,,
SEXO,Carácter,1,,Género del aspirante ,H,Hombre
,,,,,M,Mujer
COLONIA,Carácter,30,,Colonia del domicilio del aspirante,,
CP,Carácter,5,,Código postal del domicilio del aspirante,,
CVE_ALCMUN,Carácter,3,,Clave de la alcaldía/municipio del domicilio particular del aspirante,,
CVE_ENT,Carácter,2,,Clave de la entidad del domicilio particular del aspirante,,
ALCMUN_ASP,Carácter,36,,Nombre de la alcaldía/municipio del domicilio del Aspirante,,
CATEGO_ASP,Carácter,1,,Clave de categoría del aspirante ,E,Egresado
,,,,,F,Foráneo
,,,,,I,Inea
,,,,,Z,Local
CCT,Carácter,10,,Clave del centro de trabajo (escuela secundaria de procedencia del aspirante),,
REGI_SEC,Carácter,20,,Régimen de la secundaria de origen,,
MODA_SEC,Carácter,30,,Modalidad de la secundaria de origen,,
CVE_MUNALC,Carácter,3,,Clave de la alcaldía/municipio donde está ubicada la escuela del aspirante,,
MUNALC_ESC,Carácter,36,,Nombre de la alcaldía/municipio donde está ubicada la escuela del aspirante,,
PROMEDIO,Numérica,4,1,Promedio general de aprovechamiento del aspirante (promedio del certificado),,
OPC_ED01,Carácter,7,,Clave de la opción educativa 1 del aspirante,,
OPC_ED02,Carácter,7,,Clave de la opción educativa 2 del aspirante,,
OPC_ED03,Carácter,7,,Clave de la opción educativa 3 del aspirante,,
OPC_ED04,Carácter,7,,Clave de la opción educativa 4 del aspirante,,
OPC_ED05,Carácter,7,,Clave de la opción educativa 5 del aspirante,,
OPC_ED06,Carácter,7,,Clave de la opción educativa 6 del aspirante,,
OPC_ED07,Carácter,7,,Clave de la opción educativa 7 del aspirante,,
OPC_ED08,Carácter,7,,Clave de la opción educativa 8 del aspirante,,
OPC_ED09,Carácter,7,,Clave de la opción educativa 9 del aspirante,,
OPC_ED10,Carácter,7,,Clave de la opción educativa 10 del aspirante,,
OPC_ED11,Carácter,7,,Clave de la opción educativa 11 del aspirante,,
OPC_ED12,Carácter,7,,Clave de la opción educativa 12 del aspirante,,
OPC_ED13,Carácter,7,,Clave de la opción educativa 13 del aspirante,,
OPC_ED14,Carácter,7,,Clave de la opción educativa 14 del aspirante,,
OPC_ED15,Carácter,7,,Clave de la opción educativa 15 del aspirante,,
OPC_ED16,Carácter,7,,Clave de la opción educativa 16 del aspirante,,
OPC_ED17,Carácter,7,,Clave de la opción educativa 17 del aspirante,,
OPC_ED18,Carácter,7,,Clave de la opción educativa 18 del aspirante,,
OPC_ED19,Carácter,7,,Clave de la opción educativa 19 del aspirante,,
OPC_ED20,Carácter,7,,Clave de la opción educativa 20 del aspirante,,
FTURN_EXAM,Carácter,1,,Clave del turno de aplicación del examen:,,
,,,,"1         Sábado 15 de junio, turno matutino",,
,,,,"2         Sábado 15 de junio, turno vespertino",,
,,,,"3         Domingo 16 de junio, turno matutino",,
,,,,"4         Domingo 16 de junio, turno vespertino",,
,,,,"5         Sábado 22 de junio, turno matutino",,
,,,,"6         Sábado 22 de junio, turno vespertino",,
